Job ID,Agency,Posting Type,Total Positions,Civil Service Title,Title Classification,Level,Job Category,Full-Time/Part-Time indicator,Career Level,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Hours/Shift,Residency Requirement,Posting Date,Job Postings Year
599705,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,PUBLIC HEALTH ADVISER,Competitive-1,M1,Health,TBD,Experienced (non-manager),42721,50000,Annual,28th Street,Immunization Registry,TBD,Required,8/21/23,2023
606151,DEPARTMENT OF CITY PLANNING,Internal,1,CITY PLANNER,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),71255,85000,Annual,Broadway,Land Use Review,TBD,Required,9/20/23,2023
542219,DEPT OF ENVIRONMENT PROTECTION,External,2,ENVIRONMENTAL ENGINEER,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),80557,111917,Annual,Harding Expressway,PLANNING & ANALYSIS,TBD,Not required,8/16/22,2022
591472,DEPT OF ENVIRONMENT PROTECTION,External,1,ADMINISTRATIVE CONSTRUCTION PR,Competitive-1,M0,"Engineering, Architecture, & Planning",F,Manager,80931,208826,Annual,Staten Islands,UPSTATE CAPITAL CONSTR. - IFA,TBD,Not required,11/2/23,2023
606729,DEPT OF ENVIRONMENT PROTECTION,Internal,1,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),47418,54531,Annual,Grahamsville.,GRAHAMSVILLE - OF,TBD,Not required,10/6/23,2023
591280,DEPARTMENT OF TRANSPORTATION,External,1,CARPENTER,Competitive-1,M1,Building Operations & Maintenance,F,Experienced (non-manager),375.06,375.06,Daily,Water Street,Bridge Repair/352 Kent St,40 hours per week,Required,7/27/23,2023
546138,DEPARTMENT OF CORRECTION,External,1,DIRECTOR OF CORRECTIONAL STAND,Non-Competitive-5,M1,Administration & Human Resources,TBD,Experienced (non-manager),104000,110000,Annual,Astoria,Personnel Division,TBD,Not required,8/16/22,2022
613115,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,EXTERMINATOR,Competitive-1,M1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),61689,61689,Annual,NYC - All Boroughs,Pest Control Services,TBD,Required,11/21/23,2023
592741,DEPT OF ENVIRONMENT PROTECTION,Internal,1,ASSISTANT MECHANICAL ENGINEER,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),62370,93587,Annual,Harding Expressway,ENG. QUAL. AND STANDARDS (LAB),TBD,Not required,8/13/23,2023
608801,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,CRIMINALIST,Non-Competitive-5,M1,Health,F,Experienced (non-manager),56672,71421,Annual,First Avenue,OCME - Forensic Biology,TBD,Not required,11/17/23,2023
543554,FIRE DEPARTMENT,Internal,1,TELECOMMUNICATIONS MANAGER (NO,Competitive-1,M1,"Technology, Data & Innovation",F,Experienced (non-manager),58700,135000,Annual,Brooklyn,Bureau of Tech Deve and Syst,TBD,Required,11/28/22,2022
594765,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,ADM MANAGER-NON-MGRL FRM M1/M2,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),60718,90773,Annual,28th Street,Mental Health,TBD,Required,8/16/23,2023
605715,ADMIN FOR CHILDREN'S SVCS,External,1,COMMUNITY COORDINATOR,Non-Competitive-5,M1,Social Services,F,Experienced (non-manager),59116,91768,Annual,William Street,Dpty Comm Div Prev Svcs (DPS),TBD,Required,11/2/23,2023
616040,NYC EMPLOYEES RETIREMENT SYS,Internal,1,ASSISTANT RETIREMENT BENEFITS,Competitive-1,1,Administration & Human Resources,P,Entry-Level,24.7548,28.468,Hourly,Brooklyn,Executive Management,TBD,Hybrid,11/13/23,2023
595113,DEPT OF DESIGN & CONSTRUCTION,Internal,1,ASSISTANT CIVIL ENGINEER,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),62370,71726,Annual,Queens,INFRASTRUCTURE/DESIGN/SECT. 2,35 Hours Per Week,Not required,9/15/23,2023
601642,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,CITY RESEARCH SCIENTIST,Non-Competitive-5,M1,"Health Policy, Research & Analysis",TBD,Experienced (non-manager),92301,95000,Annual,28th Street,Commissioners Office,TBD,Required,9/11/23,2023
601354,BRONX DISTRICT ATTORNEY,Internal,1,COMMUNITY COORDINATOR,Non-Competitive-5,M1,Legal Affairs,F,Experienced (non-manager),65000,65000,Annual,Bronx,Support Staff,TBD,Not required,8/28/23,2023
586366,DEPT OF ENVIRONMENT PROTECTION,Internal,1,ADM ENGINEER (NON MGRL),Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),56972,155020,Annual,Harding Expressway,LEFRAK CITY - DB,TBD,Not required,5/16/23,2023
596862,DEPT OF ENVIRONMENT PROTECTION,External,1,ADMINISTRATIVE CONSTRUCTION PR,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),72038,192152,Annual,Corona,Green Infrastructure,TBD,Not required,8/11/23,2023
604479,DEPT OF DESIGN & CONSTRUCTION,Internal,2,CIVIL ENGINEERING INTERN,Competitive-1,1,"Engineering, Architecture, & Planning",F,Entry-Level,56181,64608,Annual,Queens,INFRA/DSGN/SEC.5/CSLT.DSGN G1,35 Hours Per Week,Not required,9/29/23,2023
601288,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,CITY RESEARCH SCIENTIST,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),82506,94882,Annual,28th Street,Viral Hepatitis Program,TBD,Required,9/15/23,2023
611735,DEPT OF HEALTH/MENTAL HYGIENE,External,1,CITY RESEARCH SCIENTIST,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),70087,70087,Annual,28th Street,HIV Programs,TBD,Required,10/17/23,2023
605620,ADMIN FOR CHILDREN'S SVCS,Internal,2,STOCK WORKER,Competitive-1,M1,Building Operations & Maintenance,F,Experienced (non-manager),33454,50426,Annual,Brooklyn,ADMIN-CROSSROADS POLICE,TBD,Required,11/3/23,2023
616557,HRA/DEPT OF SOCIAL SERVICES,External,2,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),53057,61015,Annual,World Trade Center,Off Of Qual Asse-Fisc Int NM,40 hours per week,Required,11/17/23,2023
612038,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,SR HEALTHCARE PROG PLAN ANLYST,Non-Competitive-5,M1,Health,F,Experienced (non-manager),56625,65000,Annual,Court Street,Early Intervention,TBD,Required,10/23/23,2023
