Job ID,Agency,Posting Type,Total Positions,Title Classification,Level,Job Category,Full-Time/Part-Time indicator,Career Level,Salary Range From,Salary Range To,Salary Frequency,Work Location,Hours/Shift,Residency Requirement,Posting Date,Job Postings Year
599705,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,M1,Health,TBD,Experienced (non-manager),42721,50000,Annual,28th Street,TBD,Required,8/21/23,2023
606151,DEPARTMENT OF CITY PLANNING,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),71255,85000,Annual,Broadway,TBD,Required,9/20/23,2023
542219,DEPT OF ENVIRONMENT PROTECTION,External,2,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),80557,111917,Annual,Harding Expressway,TBD,Not required,8/16/22,2022
591472,DEPT OF ENVIRONMENT PROTECTION,External,1,Competitive-1,M0,"Engineering, Architecture, & Planning",F,Manager,80931,208826,Annual,Staten Islands,TBD,Not required,11/2/23,2023
606729,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),47418,54531,Annual,Grahamsville.,TBD,Not required,10/6/23,2023
591280,DEPARTMENT OF TRANSPORTATION,External,1,Competitive-1,M1,Building Operations & Maintenance,F,Experienced (non-manager),375.06,375.06,Daily,Water Street,40 hours per week,Required,7/27/23,2023
546138,DEPARTMENT OF CORRECTION,External,1,Non-Competitive-5,M1,Administration & Human Resources,TBD,Experienced (non-manager),104000,110000,Annual,Astoria,TBD,Not required,8/16/22,2022
613115,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,M1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),61689,61689,Annual,NYC - All Boroughs,TBD,Required,11/21/23,2023
592741,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),62370,93587,Annual,Harding Expressway,TBD,Not required,8/13/23,2023
608801,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Non-Competitive-5,M1,Health,F,Experienced (non-manager),56672,71421,Annual,First Avenue,TBD,Not required,11/17/23,2023
543554,FIRE DEPARTMENT,Internal,1,Competitive-1,M1,"Technology, Data & Innovation",F,Experienced (non-manager),58700,135000,Annual,Brooklyn,TBD,Required,11/28/22,2022
594765,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),60718,90773,Annual,28th Street,TBD,Required,8/16/23,2023
605715,ADMIN FOR CHILDREN'S SVCS,External,1,Non-Competitive-5,M1,Social Services,F,Experienced (non-manager),59116,91768,Annual,William Street,TBD,Required,11/2/23,2023
616040,NYC EMPLOYEES RETIREMENT SYS,Internal,1,Competitive-1,1,Administration & Human Resources,P,Entry-Level,24.7548,28.468,Hourly,Brooklyn,TBD,Hybrid,11/13/23,2023
595113,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),62370,71726,Annual,Queens,35 Hours Per Week,Not required,9/15/23,2023
601642,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Non-Competitive-5,M1,Health,TBD,Experienced (non-manager),92301,95000,Annual,28th Street,TBD,Required,9/11/23,2023
601354,BRONX DISTRICT ATTORNEY,Internal,1,Non-Competitive-5,M1,Legal Affairs,F,Experienced (non-manager),65000,65000,Annual,Bronx,TBD,Not required,8/28/23,2023
586366,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),56972,155020,Annual,Harding Expressway,TBD,Not required,5/16/23,2023
596862,DEPT OF ENVIRONMENT PROTECTION,External,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),72038,192152,Annual,Corona,TBD,Not required,8/11/23,2023
604479,DEPT OF DESIGN & CONSTRUCTION,Internal,2,Competitive-1,1,"Engineering, Architecture, & Planning",F,Entry-Level,56181,64608,Annual,Queens,35 Hours Per Week,Not required,9/29/23,2023
601288,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),82506,94882,Annual,28th Street,TBD,Required,9/15/23,2023
611735,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),70087,70087,Annual,28th Street,TBD,Required,10/17/23,2023
605620,ADMIN FOR CHILDREN'S SVCS,Internal,2,Competitive-1,M1,Building Operations & Maintenance,F,Experienced (non-manager),33454,50426,Annual,Brooklyn,TBD,Required,11/3/23,2023
616557,HRA/DEPT OF SOCIAL SERVICES,External,2,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),53057,61015,Annual,World Trade Center,40 hours per week,Required,11/17/23,2023
612038,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Non-Competitive-5,M1,Health,F,Experienced (non-manager),56625,65000,Annual,Court Street,TBD,Required,10/23/23,2023
593391,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),58700,117000,Annual,47TH Street,TBD,Not required,8/22/23,2023
600570,DEPT OF DESIGN & CONSTRUCTION,External,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),62370,71726,Annual,Queens,35 Hours Per Week,Not required,10/10/23,2023
602727,DEPARTMENT OF TRANSPORTATION,External,1,Competitive-1,1,"Technology, Data & Innovation",F,Entry-Level,78795,113300,Annual,Water Street,TBD,Required,9/9/23,2023
585466,DEPT OF YOUTH & COMM DEV SRVS,External,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),68046,82335,Annual,Lafayette Street,35 Hours Per Week,Required,7/31/23,2023
571110,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),90114,122168,Annual,Water Street,35 Hours Per Week,Not required,2/2/23,2023
607791,DEPT. OF HOMELESS SERVICES,Internal,18,Non-Competitive-5,M1,Administration & Human Resources,F,Experienced (non-manager),59116,91768,Annual,Beaver Street,40 hours per week,Required,11/16/23,2023
601911,LAW DEPARTMENT,Internal,12,Exempt-4,M1,Legal Affairs,F,Experienced (non-manager),78034,155751,Annual,Church Street,TBD,Not required,11/13/23,2023
582618,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),53702,123150,Annual,Queens,35 Hours Per Week,Not required,8/23/23,2023
609959,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Pending Classification-2,M1,Health,F,Experienced (non-manager),97012,97012,Annual,100Th Street,TBD,Not required,11/22/23,2023
616184,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Non-Competitive-5,M1,Health,F,Experienced (non-manager),103026,118480,Annual,47TH Street,TBD,Required,11/14/23,2023
549839,DEPARTMENT OF TRANSPORTATION,External,1,Non-Competitive-5,1,"Technology, Data & Innovation",F,Entry-Level,0,150000,Annual,Water Street,TBD,Not required,1/17/23,2023
606333,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Non-Competitive-5,M1,Health,F,Experienced (non-manager),59116,91768,Annual,Queens,35 Hours Per Week,Required,9/26/23,2023
615540,TECHNOLOGY & INNOVATION,External,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),48170,48170,Annual,Maiden Lane,TBD,Required,11/21/23,2023
609323,HRA/DEPT OF SOCIAL SERVICES,External,2,Competitive-1,M1,Social Services,F,Experienced (non-manager),56677,65179,Annual,Bronx,40 hours per week,Not required,10/3/23,2023
607493,DEPT. OF HOMELESS SERVICES,External,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),59116,91768,Annual,30TH Street,40 hours per week,Required,10/2/23,2023
589862,DEPT OF ENVIRONMENT PROTECTION,External,2,Competitive-1,1,Building Operations & Maintenance,F,Entry-Level,37.28,43.4,Hourly,180th Street,TBD,Hybrid,6/12/23,2023
588726,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,M1,Communications & Intergovernmental Affairs,F,Experienced (non-manager),58682,159671,Annual,Harding Expressway,TBD,Not required,8/25/23,2023
581073,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),53702,95110,Annual,Queens,35 Hours Per Week,Not required,8/3/23,2023
527762,NYC HOUSING AUTHORITY,Internal,1,Competitive-1,M0,Administration & Human Resources,F,Manager,58700,161534,Annual,Brooklyn,TBD,Not required,5/13/22,2022
597024,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Competitive-1,M1,Health,F,Experienced (non-manager),51528,60088,Annual,Brooklyn,TBD,Required,8/24/23,2023
570680,DEPT OF HEALTH/MENTAL HYGIENE,Internal,81,Non-Competitive-5,M1,Constituent Services & Community Programs,P,Experienced (non-manager),41.69,41.69,Hourly,NYC - All Boroughs,TBD,Hybrid,9/7/23,2023
577755,DEPT OF CITYWIDE ADMIN SVCS,Internal,1,Competitive-1,M1,Building Operations & Maintenance,F,Experienced (non-manager),90000,100000,Annual,Centre Street,TBD,Not required,11/24/23,2023
608328,OFFICE OF RACIAL EQUITY,Internal,1,Pending Classification-2,M0,Administration & Human Resources,F,Manager,58700,120000,Annual,Broadway,TBD,New York City residency is required.,11/27/23,2023
601045,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Non-Competitive-5,M1,Health,F,Experienced (non-manager),92301,110000,Annual,Brooklyn,TBD,Required,8/25/23,2023
612728,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Non-Competitive-5,M1,"Policy, Research & Analysis",F,Experienced (non-manager),82506,94882,Annual,47TH Street,TBD,Required,10/23/23,2023
611786,DEPT OF PARKS & RECREATION,External,1,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),70000,75000,Annual,Flushing Meadow,TBD,Not required,11/2/23,2023
616415,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),81571,93807,Annual,Queens,TBD,Not required,11/17/23,2023
603391,DEPT OF ENVIRONMENT PROTECTION,Internal,5,Pending Classification-2,M0,Communications & Intergovernmental Affairs,F,Manager,64922,150000,Annual,Corona,35 Hours Per Week,Required,10/25/23,2023
587811,HRA/DEPT OF SOCIAL SERVICES,External,1,Competitive-1,M0,Administration & Human Resources,F,Manager,72038,192152,Annual,Broadway,TBD,Required,7/26/23,2023
613363,DEPT OF HEALTH/MENTAL HYGIENE,External,3,Competitive-1,1,"Public Safety, Inspections, & Enforcement",F,Entry-Level,49961,57455,Annual,Worth Street.,TBD,Required,10/25/23,2023
599670,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,M1,Legal Affairs,F,Experienced (non-manager),24.8106,39.6158,Hourly,Maiden Lane,35 Hours Per Week,Hybrid,8/24/23,2023
554086,DEPT OF ENVIRONMENT PROTECTION,Internal,2,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,85646,Annual,Harding Expressway,TBD,Not required,10/6/22,2022
615400,DEPARTMENT OF FINANCE,Internal,1,Non-Competitive-5,M1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),80517,86830,Annual,Maiden Lane,TBD,Required,11/20/23,2023
563522,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,M0,"Engineering, Architecture, & Planning",F,Manager,64922,151469,Annual,Corona,TBD,Not required,10/18/23,2023
527794,NYC HOUSING AUTHORITY,External,1,Competitive-1,1,Building Operations & Maintenance,F,Entry-Level,48.27,48.27,Hourly,Brooklyn,TBD,Not required,5/12/22,2022
605984,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,M1,Health,F,Experienced (non-manager),55816,72033,Annual,28th Street,TBD,Required,9/19/23,2023
595380,DEPT OF DESIGN & CONSTRUCTION,External,1,Non-Competitive-5,M1,Administration & Human Resources,F,Experienced (non-manager),41887,55316,Annual,Queens,35 Hours Per Week,Required,10/4/23,2023
564456,DEPARTMENT OF TRANSPORTATION,External,2,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),62470,80008,Annual,Queens,35 Hours Per Week,Required,2/2/23,2023
545830,DEPARTMENT OF CORRECTION,Internal,4,Non-Competitive-5,1,Health,F,Entry-Level,35197,40477,Annual,Hazen Street,TBD,Not required,7/18/23,2023
590657,DEPT. OF HOMELESS SERVICES,External,7,Competitive-1,M1,Social Services,F,Experienced (non-manager),45329,77633,Annual,Beaver Street,TBD,Not required,6/29/23,2023
586358,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),60554,90861,Annual,Harding Expressway,35 Hours Per Week,Not required,5/16/23,2023
582448,FIRE DEPARTMENT,Internal,1,Competitive-1,M2,Communications & Intergovernmental Affairs,F,Executive,94715,120000,Annual,Brooklyn,TBD,Required,4/20/23,2023
591348,DEPT OF ENVIRONMENT PROTECTION,External,2,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),53902,65000,Annual,Gold Street,35 Hours Per Week,Required,7/14/23,2023
570670,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),84252,84252,Annual,47TH Street,TBD,Not required,11/16/23,2023
614297,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Competitive-1,M1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),72038,150000,Annual,28th Street,TBD,Required,10/31/23,2023
606513,NYC HOUSING AUTHORITY,Internal,1,Non-Competitive-5,M0,Legal Affairs,F,Manager,95000,105000,Annual,Policy,TBD,Not required,9/29/23,2023
614519,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),43728,50000,Annual,100Th Street,TBD,Required,11/6/23,2023
612417,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,M1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),70611,105138,Annual,Water Street,35 Hours Per Week,Required,10/25/23,2023
